epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,1.6220505237579346,
0,,99,,1.3459241390228271,
0,,149,,1.2436373233795166,
0,,199,,1.2175767421722412,
0,,249,,1.2296111583709717,
0,,299,,1.1828151941299438,
0,,349,,1.1610312461853027,
0,,389,,,1.1583199501037598
,0.00099,390,,,
1,,399,,1.1147856712341309,
1,,449,,1.1423966884613037,
1,,499,,1.127486228942871,
1,,549,,1.1114063262939453,
1,,599,,1.1221487522125244,
1,,649,,1.1615084409713745,
1,,699,,1.152735710144043,
1,,749,,1.1346508264541626,
1,,779,,,1.1351505517959595
,0.0009801,780,,,
2,,799,,1.1376302242279053,
2,,849,,1.1547908782958984,
2,,899,,1.1266398429870605,
2,,949,,1.1454122066497803,
2,,999,,1.1593101024627686,
2,,1049,,1.1600735187530518,
2,,1099,,1.1011804342269897,
2,,1149,,1.1511671543121338,
2,,1169,,,1.1345633268356323
,0.000970299,1170,,,
3,,1199,,1.1294660568237305,
3,,1249,,1.128096580505371,
3,,1299,,1.0787198543548584,
3,,1349,,1.103446125984192,
3,,1399,,1.224022626876831,
3,,1449,,1.1784682273864746,
3,,1499,,1.1813182830810547,
3,,1549,,1.138630986213684,
3,,1559,,,1.1559678316116333
,0.0009605960099999999,1560,,,
4,,1599,,1.137958288192749,
4,,1640,1.1442303657531738,,
4,,1640,1.141021490097046,,
