epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,7.351564407348633,
0,,99,,6.642242431640625,
0,,149,,3.1145806312561035,
0,,199,,2.3412342071533203,
0,,249,,1.9831912517547607,
0,,299,,1.8625370264053345,
0,,349,,1.7531460523605347,
0,,389,,,1.7338894605636597
,0.00099,390,,,
1,,399,,1.702002763748169,
1,,449,,1.6754024028778076,
1,,499,,1.6089271306991577,
1,,549,,1.5776937007904053,
1,,599,,1.5915019512176514,
1,,649,,1.5956811904907227,
1,,699,,1.5393080711364746,
1,,749,,1.5684380531311035,
1,,779,,,1.496536374092102
,0.0009801,780,,,
2,,799,,1.4420301914215088,
2,,849,,1.4161865711212158,
2,,899,,1.460481882095337,
2,,949,,1.3726810216903687,
2,,999,,1.421500563621521,
2,,1049,,1.4283943176269531,
2,,1099,,1.4073182344436646,
2,,1149,,1.3648552894592285,
2,,1169,,,1.3836278915405273
,0.000970299,1170,,,
3,,1199,,1.3727102279663086,
3,,1249,,1.3997628688812256,
3,,1299,,1.4009623527526855,
3,,1349,,1.4045377969741821,
3,,1399,,1.349096417427063,
3,,1449,,1.3904367685317993,
3,,1499,,1.3680757284164429,
3,,1549,,1.3478572368621826,
3,,1559,,,1.3652549982070923
,0.0009605960099999999,1560,,,
4,,1599,,1.3927093744277954,
4,,1649,,1.375164270401001,
4,,1699,,1.370185136795044,
4,,1749,,1.3758201599121094,
4,,1799,,1.3610351085662842,
4,,1849,,1.368574619293213,
4,,1899,,1.3325045108795166,
4,,1949,,1.375732660293579,
4,,1949,,,1.3552430868148804
,0.0009509900498999999,1950,,,
5,,1999,,1.337470531463623,
5,,2049,,1.374413251876831,
5,,2099,,1.3723645210266113,
5,,2149,,1.3844544887542725,
5,,2199,,1.3639329671859741,
5,,2249,,1.3268585205078125,
5,,2299,,1.378206491470337,
5,,2339,,,1.3472750186920166
,0.0009414801494009999,2340,,,
6,,2349,,1.3763563632965088,
6,,2399,,1.354304552078247,
6,,2449,,1.3598949909210205,
6,,2499,,1.3534295558929443,
6,,2549,,1.319615125656128,
6,,2599,,1.3965299129486084,
