epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,1.9755275249481201,
0,,99,,1.424149990081787,
0,,149,,1.2896562814712524,
0,,199,,1.2274436950683594,
0,,249,,1.221437931060791,
0,,299,,1.1587824821472168,
0,,349,,1.1474354267120361,
0,,389,,,1.1662534475326538
,0.00099,390,,,
1,,399,,1.1892449855804443,
1,,449,,1.1604909896850586,
1,,499,,1.133683204650879,
1,,549,,1.1526687145233154,
1,,599,,1.1061503887176514,
1,,649,,1.1344780921936035,
1,,699,,1.1948513984680176,
1,,749,,1.1313889026641846,
1,,779,,,1.1423040628433228
,0.0009801,780,,,
2,,799,,1.1643955707550049,
2,,849,,1.1518380641937256,
2,,899,,1.0914902687072754,
2,,949,,1.12726628780365,
2,,999,,1.1701356172561646,
2,,1049,,1.1445934772491455,
2,,1099,,1.1154729127883911,
2,,1149,,1.1236977577209473,
2,,1169,,,1.13175630569458
,0.000970299,1170,,,
3,,1199,,1.1735609769821167,
3,,1249,,1.1634094715118408,
3,,1299,,1.169944405555725,
3,,1349,,1.1001451015472412,
3,,1399,,1.1090644598007202,
3,,1449,,1.1302393674850464,
3,,1499,,1.1936664581298828,
3,,1549,,1.1608128547668457,
3,,1559,,,1.1255207061767578
,0.0009605960099999999,1560,,,
4,,1599,,1.1301095485687256,
4,,1649,,1.2000136375427246,
4,,1699,,1.1500965356826782,
4,,1749,,1.0962977409362793,
4,,1799,,1.1277625560760498,
4,,1849,,1.126357913017273,
4,,1899,,1.1490665674209595,
4,,1949,,1.1226606369018555,
4,,1949,,,1.1230815649032593
,0.0009509900498999999,1950,,,
5,,1999,,1.1442131996154785,
5,,2049,,1.1972905397415161,
5,,2099,,1.129860520362854,
5,,2149,,1.1599843502044678,
5,,2199,,1.1104904413223267,
5,,2249,,1.11176598072052,
5,,2299,,1.0799480676651,
5,,2339,,,1.1229788064956665
,0.0009414801494009999,2340,,,
6,,2349,,1.1121407747268677,
6,,2399,,1.1214122772216797,
6,,2449,,1.1141557693481445,
6,,2499,,1.0736578702926636,
6,,2549,,1.141908884048462,
6,,2599,,1.0591262578964233,
6,,2649,,1.2188445329666138,
6,,2699,,1.1304130554199219,
6,,2729,,,1.100685477256775
,0.0009320653479069899,2730,,,
7,,2749,,1.094451665878296,
7,,2799,,1.1348421573638916,
7,,2849,,1.0949289798736572,
7,,2899,,1.0531774759292603,
7,,2949,,1.04143488407135,
7,,2999,,1.2098848819732666,
7,,3049,,1.17197847366333,
7,,3099,,1.1314252614974976,
7,,3119,,,1.1168992519378662
,0.00092274469442792,3120,,,
8,,3149,,1.1470861434936523,
8,,3199,,1.1301753520965576,
8,,3249,,1.1482915878295898,
8,,3299,,1.079821228981018,
8,,3349,,1.0923049449920654,
8,,3399,,1.113129734992981,
8,,3449,,1.1399976015090942,
8,,3499,,1.0892139673233032,
8,,3509,,,1.105980396270752
,0.0009135172474836408,3510,,,
9,,3549,,1.1481008529663086,
9,,3599,,1.062715768814087,
9,,3649,,1.1169694662094116,
9,,3699,,1.0863463878631592,
9,,3749,,1.0671055316925049,
9,,3799,,1.1325891017913818,
9,,3849,,1.1035913228988647,
9,,3899,,1.12302565574646,
9,,3899,,,1.1266087293624878
,0.0009043820750088043,3900,,,
10,,3949,,1.1115642786026,
10,,3999,,1.1038522720336914,
10,,4049,,1.147103190422058,
10,,4099,,1.0514733791351318,
10,,4149,,1.0631732940673828,
10,,4199,,1.081939697265625,
10,,4249,,1.0573809146881104,
10,,4289,,,1.0882017612457275
,0.0008953382542587163,4290,,,
11,,4299,,1.1171950101852417,
11,,4349,,1.0905340909957886,
11,,4399,,1.0306808948516846,
11,,4449,,1.1654716730117798,
11,,4499,,1.1300921440124512,
11,,4549,,1.1137583255767822,
11,,4599,,1.0733250379562378,
11,,4649,,1.0758081674575806,
11,,4679,,,1.0711674690246582
,0.0008863848717161291,4680,,,
12,,4699,,1.109731912612915,
12,,4749,,1.0597442388534546,
12,,4799,,1.1014140844345093,
12,,4849,,1.0965170860290527,
12,,4899,,1.065023422241211,
12,,4949,,1.1157481670379639,
12,,4999,,1.0316530466079712,
12,,5049,,1.0357029438018799,
12,,5069,,,1.0579932928085327
,0.0008775210229989678,5070,,,
13,,5099,,1.0334508419036865,
13,,5149,,1.095875859260559,
13,,5199,,1.121640920639038,
13,,5249,,1.129416823387146,
13,,5299,,1.1295225620269775,
13,,5349,,1.1126532554626465,
13,,5399,,1.050699234008789,
13,,5449,,1.1029325723648071,
13,,5459,,,1.0727437734603882
,0.0008687458127689781,5460,,,
14,,5499,,1.0673152208328247,
14,,5549,,1.081671118736267,
14,,5599,,1.0445148944854736,
14,,5649,,1.0300970077514648,
14,,5699,,1.044339656829834,
14,,5749,,1.079784870147705,
14,,5799,,1.056493878364563,
14,,5849,,1.0009522438049316,
14,,5849,,,1.0472372770309448
,0.0008600583546412883,5850,,,
15,,5899,,1.0407168865203857,
15,,5949,,1.0824823379516602,
15,,5999,,1.0415962934494019,
15,,6049,,1.0536125898361206,
15,,6099,,1.0619173049926758,
15,,6149,,1.0175931453704834,
15,,6199,,1.0436094999313354,
15,,6239,,,1.040850043296814
,0.0008514577710948754,6240,,,
16,,6249,,1.0113637447357178,
16,,6299,,1.0085240602493286,
16,,6349,,1.0189330577850342,
16,,6399,,0.9956678748130798,
16,,6449,,1.0043413639068604,
16,,6499,,1.006071925163269,
16,,6549,,1.0694541931152344,
16,,6599,,0.9993453621864319,
16,,6629,,,1.0278782844543457
,0.0008429431933839266,6630,,,
17,,6649,,1.0123918056488037,
17,,6699,,1.1103748083114624,
17,,6749,,1.0316309928894043,
17,,6799,,1.0235801935195923,
17,,6849,,1.0453135967254639,
17,,6899,,0.9711927771568298,
17,,6949,,0.9969541430473328,
17,,6999,,1.028179407119751,
17,,7019,,,1.0052121877670288
,0.0008345137614500873,7020,,,
18,,7049,,0.9602227807044983,
18,,7099,,0.9916099309921265,
18,,7149,,1.0667831897735596,
18,,7199,,0.9546778202056885,
18,,7249,,0.9953436255455017,
18,,7299,,1.019195795059204,
18,,7349,,0.9650437831878662,
18,,7399,,1.0255215167999268,
18,,7409,,,0.995713472366333
,0.0008261686238355864,7410,,,
19,,7449,,1.0457119941711426,
19,,7499,,0.9725222587585449,
19,,7549,,1.0188093185424805,
19,,7599,,0.9925469160079956,
19,,7649,,0.9641261100769043,
19,,7699,,0.9609345197677612,
19,,7749,,0.9852667450904846,
19,,7799,,1.0356552600860596,
19,,7799,,,0.985053539276123
,0.0008179069375972306,7800,,,
20,,7849,,1.1906946897506714,
20,,7899,,1.0539181232452393,
20,,7949,,1.155789852142334,
20,,7999,,1.0635452270507812,
20,,8049,,1.0934841632843018,
20,,8099,,1.0788614749908447,
20,,8149,,1.042720079421997,
20,,8189,,,1.0331165790557861
,0.0008097278682212583,8190,,,
21,,8199,,0.962151288986206,
21,,8249,,0.9994031190872192,
21,,8299,,1.0534918308258057,
21,,8349,,1.0655555725097656,
21,,8399,,1.0457181930541992,
