epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,7.7791008949279785,
0,,99,,7.465041637420654,
0,,149,,7.076568603515625,
0,,199,,6.625173568725586,
0,,249,,6.084526538848877,
0,,299,,5.191972732543945,
0,,349,,3.7794737815856934,
0,,389,,,2.446268320083618
,0.00099,390,,,
1,,399,,2.313760995864868,
1,,449,,2.040135383605957,
1,,499,,2.090275287628174,
1,,549,,2.006801128387451,
1,,599,,2.023292064666748,
1,,649,,2.0348873138427734,
1,,699,,1.9811872243881226,
1,,749,,2.00717830657959,
1,,779,,,1.9790712594985962
,0.0009801,780,,,
2,,799,,1.9848682880401611,
2,,849,,2.0017030239105225,
2,,899,,2.033322811126709,
2,,949,,1.9763158559799194,
2,,999,,1.970625877380371,
2,,1049,,1.9348537921905518,
2,,1099,,1.9551613330841064,
2,,1149,,1.9851826429367065,
2,,1169,,,1.9498181343078613
,0.000970299,1170,,,
3,,1199,,1.889836072921753,
3,,1249,,1.9634672403335571,
3,,1299,,1.9542409181594849,
3,,1349,,1.9605662822723389,
3,,1399,,2.05704665184021,
3,,1449,,1.94526207447052,
3,,1499,,1.9260711669921875,
3,,1549,,1.9065262079238892,
3,,1559,,,1.9423657655715942
,0.0009605960099999999,1560,,,
4,,1599,,1.9598350524902344,
4,,1649,,1.897868037223816,
4,,1699,,1.9860546588897705,
4,,1749,,1.888914704322815,
4,,1799,,2.017397403717041,
4,,1849,,1.906561255455017,
4,,1899,,1.927364468574524,
4,,1949,,1.9966256618499756,
4,,1949,,,1.93821382522583
,0.0009509900498999999,1950,,,
5,,1999,,1.9406096935272217,
5,,2049,,1.9205222129821777,
5,,2099,,1.8721919059753418,
5,,2149,,1.9240190982818604,
5,,2199,,2.0042591094970703,
5,,2249,,1.9367153644561768,
5,,2299,,1.9359416961669922,
5,,2339,,,1.9345852136611938
,0.0009414801494009999,2340,,,
6,,2349,,1.947615623474121,
6,,2399,,1.954652190208435,
6,,2449,,1.8920466899871826,
6,,2499,,1.9169511795043945,
6,,2549,,1.91817307472229,
6,,2599,,1.9614027738571167,
6,,2649,,1.8867900371551514,
6,,2699,,1.8994953632354736,
6,,2729,,,1.9320794343948364
,0.0009320653479069899,2730,,,
7,,2749,,1.8322856426239014,
7,,2799,,1.9513131380081177,
7,,2849,,1.9037747383117676,
7,,2899,,1.926916241645813,
7,,2949,,1.856414794921875,
7,,2999,,1.907310962677002,
7,,3049,,1.980846643447876,
7,,3099,,1.9061529636383057,
7,,3119,,,1.929764986038208
,0.00092274469442792,3120,,,
8,,3149,,1.936497449874878,
8,,3199,,1.9241218566894531,
8,,3249,,1.8641939163208008,
8,,3299,,1.9959861040115356,
8,,3349,,1.94649076461792,
8,,3399,,1.9336180686950684,
8,,3449,,2.019681453704834,
8,,3499,,1.97818922996521,
8,,3509,,,1.9290612936019897
,0.0009135172474836408,3510,,,
9,,3549,,1.937687873840332,
9,,3599,,1.8715418577194214,
9,,3649,,1.922745943069458,
9,,3699,,1.97813880443573,
9,,3749,,1.9515995979309082,
9,,3799,,1.9120254516601562,
9,,3849,,1.968966007232666,
9,,3899,,1.9670395851135254,
9,,3899,,,1.9288761615753174
,0.0009043820750088043,3900,,,
10,,3949,,1.886892318725586,
10,,3999,,1.9706798791885376,
10,,4049,,1.9986999034881592,
10,,4099,,1.86494779586792,
10,,4149,,1.8996511697769165,
10,,4199,,1.9607348442077637,
10,,4249,,1.9286415576934814,
10,,4289,,,1.9288002252578735
,0.0008953382542587163,4290,,,
11,,4299,,1.9365043640136719,
11,,4349,,1.9006152153015137,
11,,4399,,1.8869439363479614,
11,,4449,,1.9692344665527344,
11,,4499,,1.9153780937194824,
11,,4549,,1.9630563259124756,
11,,4599,,1.8894073963165283,
11,,4649,,1.9251511096954346,
11,,4679,,,1.9287420511245728
,0.0008863848717161291,4680,,,
12,,4699,,1.9376766681671143,
12,,4749,,1.9593976736068726,
12,,4799,,1.9284181594848633,
12,,4849,,1.9017850160598755,
12,,4899,,1.9689536094665527,
12,,4949,,1.8969026803970337,
12,,4999,,1.9183151721954346,
12,,5049,,1.9292222261428833,
12,,5069,,,1.9287328720092773
,0.0008775210229989678,5070,,,
13,,5099,,1.9269955158233643,
13,,5149,,1.920935034751892,
13,,5199,,1.9743436574935913,
13,,5249,,1.9074434041976929,
13,,5299,,1.9868252277374268,
13,,5349,,1.9173855781555176,
13,,5399,,1.9193792343139648,
13,,5449,,1.9266486167907715,
13,,5459,,,1.9286922216415405
,0.0008687458127689781,5460,,,
14,,5499,,1.9478102922439575,
14,,5549,,1.914928913116455,
14,,5599,,1.905144453048706,
14,,5649,,1.9847190380096436,
14,,5699,,1.950054407119751,
14,,5749,,1.9373977184295654,
14,,5799,,1.9405080080032349,
14,,5849,,1.88961660861969,
14,,5849,,,1.928714632987976
,0.0008600583546412883,5850,,,
15,,5899,,1.879654884338379,
15,,5949,,1.936970591545105,
15,,5999,,1.8962676525115967,
15,,6049,,1.9581634998321533,
15,,6099,,1.8746238946914673,
15,,6129,1.92872953414917,,
15,,6129,1.93282949924469,,
