epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,1.941659688949585,
0,,99,,1.3894683122634888,
0,,149,,1.3009183406829834,
0,,199,,1.2700146436691284,
0,,249,,1.2098064422607422,
0,,299,,1.239314079284668,
0,,349,,1.196588158607483,
0,,389,,,1.1899440288543701
,0.00099,390,,,
1,,399,,1.1548914909362793,
1,,449,,1.210724115371704,
1,,499,,1.1800923347473145,
1,,549,,1.1453005075454712,
1,,599,,1.1249533891677856,
1,,649,,1.164358377456665,
1,,699,,1.166701078414917,
1,,749,,1.165984869003296,
1,,779,,,1.160752773284912
,0.0009801,780,,,
2,,799,,1.1608428955078125,
2,,849,,1.141974687576294,
2,,899,,1.142472505569458,
2,,908,1.1513768434524536,,
2,,908,1.148455262184143,,
