epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,8.232789993286133,
0,,99,,4.773691177368164,
0,,149,,2.8786394596099854,
0,,199,,1.9712377786636353,
0,,249,,1.7597155570983887,
0,,299,,1.689433217048645,
0,,349,,1.5691348314285278,
0,,389,,,1.5917912721633911
,0.00099,390,,,
1,,399,,1.656999945640564,
1,,449,,1.6166257858276367,
1,,499,,1.5523004531860352,
1,,549,,1.499125361442566,
1,,599,,1.516365885734558,
1,,649,,1.3952248096466064,
1,,699,,1.4222468137741089,
1,,749,,1.3604058027267456,
1,,779,,,1.3490009307861328
,0.0009801,780,,,
2,,799,,1.2982839345932007,
2,,849,,1.319136381149292,
2,,899,,1.2868666648864746,
2,,949,,1.301103115081787,
2,,999,,1.3386783599853516,
2,,1049,,1.2578517198562622,
2,,1099,,1.2665761709213257,
2,,1149,,1.2565410137176514,
2,,1169,,,1.2523688077926636
,0.000970299,1170,,,
3,,1199,,1.2709450721740723,
3,,1249,,1.2458713054656982,
3,,1299,,1.2491310834884644,
3,,1349,,1.2374930381774902,
3,,1399,,1.2431626319885254,
3,,1449,,1.1999082565307617,
3,,1499,,1.2405469417572021,
3,,1549,,1.1954176425933838,
3,,1559,,,1.231139063835144
,0.0009605960099999999,1560,,,
4,,1599,,1.2535290718078613,
4,,1649,,1.2008848190307617,
4,,1699,,1.211254596710205,
4,,1749,,1.2293658256530762,
4,,1799,,1.2267268896102905,
4,,1849,,1.199272871017456,
4,,1899,,1.248509407043457,
4,,1949,,1.18800950050354,
4,,1949,,,1.2164636850357056
,0.0009509900498999999,1950,,,
5,,1999,,1.2079052925109863,
5,,2041,1.21550452709198,,
5,,2041,1.2116780281066895,,
