epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,8.010868072509766,
0,,99,,6.545823097229004,
0,,149,,3.271556854248047,
0,,199,,2.2598421573638916,
0,,249,,1.8673624992370605,
0,,299,,1.7912262678146362,
0,,349,,1.6502435207366943,
0,,389,,,1.6470500230789185
,0.00099,390,,,
1,,399,,1.6809083223342896,
1,,449,,1.64095139503479,
1,,499,,1.6017241477966309,
1,,549,,1.5472594499588013,
1,,599,,1.5259782075881958,
1,,649,,1.545111060142517,
1,,699,,1.548577904701233,
1,,749,,1.4879084825515747,
1,,779,,,1.506171464920044
,0.0009801,780,,,
2,,799,,1.5051653385162354,
2,,849,,1.5105195045471191,
2,,899,,1.4845573902130127,
2,,949,,1.4661314487457275,
2,,999,,1.5130958557128906,
2,,1049,,1.4646553993225098,
2,,1099,,1.4564435482025146,
2,,1149,,1.4582854509353638,
2,,1169,,,1.4428131580352783
,0.000970299,1170,,,
3,,1199,,1.397438883781433,
3,,1249,,1.398520827293396,
3,,1257,1.4317142963409424,,
3,,1257,1.432916522026062,,
