epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,7.36949348449707,
0,,99,,6.972939491271973,
0,,149,,3.984983444213867,
0,,199,,2.7224559783935547,
0,,249,,1.9807133674621582,
0,,299,,1.8155181407928467,
0,,349,,1.675133466720581,
0,,389,,,1.6146454811096191
,0.00099,390,,,
1,,399,,1.5814318656921387,
1,,449,,1.5776315927505493,
1,,499,,1.522022008895874,
1,,549,,1.478379726409912,
1,,599,,1.477388858795166,
1,,649,,1.4769830703735352,
1,,699,,1.4222745895385742,
1,,749,,1.4525172710418701,
1,,779,,,1.4040493965148926
,0.0009801,780,,,
2,,799,,1.3599752187728882,
2,,849,,1.360327959060669,
2,,899,,1.414383888244629,
2,,949,,1.3341588973999023,
2,,999,,1.3873827457427979,
2,,1049,,1.3933672904968262,
2,,1099,,1.3719708919525146,
2,,1149,,1.333742380142212,
2,,1169,,,1.3522506952285767
,0.000970299,1170,,,
3,,1199,,1.341144323348999,
3,,1249,,1.3723890781402588,
3,,1299,,1.3661516904830933,
3,,1349,,1.3665043115615845,
3,,1399,,1.3078429698944092,
3,,1449,,1.3483095169067383,
3,,1499,,1.3171756267547607,
3,,1549,,1.2865110635757446,
3,,1559,,,1.3010607957839966
,0.0009605960099999999,1560,,,
4,,1599,,1.3083040714263916,
4,,1649,,1.2805334329605103,
4,,1699,,1.2595441341400146,
4,,1749,,1.241456151008606,
4,,1799,,1.221552848815918,
4,,1849,,1.2233344316482544,
4,,1899,,1.190595269203186,
4,,1949,,1.2194607257843018,
4,,1949,,,1.2069315910339355
,0.0009509900498999999,1950,,,
5,,1999,,1.18593430519104,
5,,2049,,1.221107006072998,
5,,2099,,1.2191168069839478,
5,,2149,,1.2234430313110352,
5,,2199,,1.2076375484466553,
5,,2249,,1.1817634105682373,
5,,2299,,1.2280508279800415,
5,,2339,,,1.1944963932037354
,0.0009414801494009999,2340,,,
6,,2349,,1.2252776622772217,
6,,2399,,1.2024261951446533,
6,,2449,,1.2032604217529297,
6,,2499,,1.1996896266937256,
6,,2549,,1.1747276782989502,
6,,2599,,1.2402756214141846,
6,,2649,,1.213323712348938,
6,,2699,,1.2054376602172852,
6,,2729,,,1.189711093902588
,0.0009320653479069899,2730,,,
7,,2749,,1.1819429397583008,
7,,2799,,1.1961733102798462,
7,,2849,,1.207060694694519,
7,,2899,,1.1723835468292236,
7,,2949,,1.1618716716766357,
7,,2999,,1.1968271732330322,
7,,3049,,1.1531739234924316,
7,,3099,,1.2486708164215088,
7,,3119,,,1.183532476425171
,0.00092274469442792,3120,,,
8,,3149,,1.2100226879119873,
8,,3199,,1.2268786430358887,
8,,3249,,1.1919329166412354,
8,,3299,,1.168961763381958,
8,,3349,,1.2115024328231812,
8,,3399,,1.1634198427200317,
8,,3449,,1.1740381717681885,
8,,3499,,1.1473588943481445,
8,,3509,,,1.1848362684249878
,0.0009135172474836408,3510,,,
9,,3549,,1.1761114597320557,
9,,3599,,1.2288564443588257,
9,,3649,,1.2048454284667969,
9,,3699,,1.180337905883789,
9,,3749,,1.1887882947921753,
9,,3799,,1.1969181299209595,
9,,3849,,1.1827716827392578,
9,,3899,,1.195939064025879,
9,,3899,,,1.1787747144699097
,0.0009043820750088043,3900,,,
10,,3949,,1.1635538339614868,
10,,3999,,1.2236328125,
10,,4049,,1.175716519355774,
10,,4099,,1.1531323194503784,
10,,4149,,1.1750304698944092,
10,,4199,,1.2265188694000244,
10,,4249,,1.1289587020874023,
10,,4289,,,1.1766061782836914
,0.0008953382542587163,4290,,,
11,,4299,,1.1962206363677979,
11,,4349,,1.1630104780197144,
11,,4399,,1.16633939743042,
11,,4449,,1.139505386352539,
11,,4499,,1.1969032287597656,
11,,4549,,1.2096775770187378,
11,,4599,,1.1542048454284668,
11,,4649,,1.181504726409912,
11,,4679,,,1.1743959188461304
,0.0008863848717161291,4680,,,
12,,4699,,1.1874926090240479,
12,,4749,,1.221786379814148,
12,,4799,,1.201251745223999,
12,,4849,,1.1847517490386963,
12,,4899,,1.1524094343185425,
12,,4949,,1.1842913627624512,
12,,4999,,1.188103437423706,
12,,5049,,1.1374499797821045,
12,,5069,,,1.1726888418197632
,0.0008775210229989678,5070,,,
13,,5099,,1.1576443910598755,
13,,5149,,1.1576040983200073,
13,,5199,,1.1754295825958252,
13,,5249,,1.179941177368164,
13,,5299,,1.1893765926361084,
13,,5349,,1.1764864921569824,
13,,5399,,1.1528375148773193,
13,,5449,,1.2150323390960693,
13,,5459,,,1.1722300052642822
,0.0008687458127689781,5460,,,
14,,5499,,1.2141706943511963,
14,,5549,,1.1649291515350342,
14,,5599,,1.1628787517547607,
14,,5649,,1.1889082193374634,
14,,5699,,1.1764910221099854,
14,,5749,,1.198180913925171,
14,,5799,,1.2269644737243652,
14,,5849,,1.1288323402404785,
14,,5849,,,1.1706156730651855
