epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,7.278589248657227,
0,,99,,3.1522715091705322,
0,,149,,2.6567671298980713,
0,,199,,2.4615530967712402,
0,,249,,2.423435926437378,
0,,299,,2.3192696571350098,
0,,349,,2.25101375579834,
0,,389,,,2.1743900775909424
,0.00099,390,,,
1,,399,,2.1675219535827637,
1,,449,,2.0289154052734375,
1,,499,,2.069720506668091,
1,,549,,1.9177722930908203,
1,,599,,1.9364084005355835,
1,,649,,1.9289250373840332,
1,,699,,1.8890419006347656,
1,,749,,1.8378992080688477,
1,,779,,,1.873759388923645
,0.0009801,780,,,
2,,799,,1.8294661045074463,
2,,849,,1.8980042934417725,
2,,899,,1.7510535717010498,
2,,949,,1.8919751644134521,
2,,999,,1.8148369789123535,
2,,1049,,1.8542184829711914,
2,,1099,,1.8064041137695312,
2,,1149,,1.8814337253570557,
2,,1169,,,1.8402001857757568
,0.000970299,1170,,,
3,,1199,,1.829285740852356,
3,,1249,,1.8546921014785767,
3,,1299,,1.78519606590271,
3,,1349,,1.8839612007141113,
3,,1399,,1.8997584581375122,
3,,1449,,1.9019222259521484,
3,,1499,,1.8703242540359497,
3,,1549,,1.8654958009719849,
3,,1559,,,1.8394187688827515
,0.0009605960099999999,1560,,,
4,,1599,,1.8554033041000366,
4,,1649,,1.8322665691375732,
4,,1699,,1.8478771448135376,
4,,1749,,1.8256628513336182,
4,,1799,,1.8397622108459473,
4,,1849,,1.810215950012207,
4,,1899,,1.8386015892028809,
4,,1949,,1.8317530155181885,
4,,1949,,,1.8281800746917725
,0.0009509900498999999,1950,,,
5,,1999,,1.8841731548309326,
5,,2049,,1.8592548370361328,
5,,2099,,1.8014764785766602,
5,,2149,,1.8529373407363892,
5,,2199,,1.8083829879760742,
5,,2249,,1.8358763456344604,
5,,2299,,1.8520017862319946,
5,,2339,,,1.8223865032196045
,0.0009414801494009999,2340,,,
6,,2349,,1.7844886779785156,
6,,2399,,1.82510244846344,
6,,2449,,1.8566690683364868,
6,,2499,,1.8168277740478516,
6,,2549,,1.8764514923095703,
6,,2599,,1.8588483333587646,
6,,2649,,1.8771517276763916,
6,,2699,,1.856382966041565,
6,,2729,,,1.8183611631393433
,0.0009320653479069899,2730,,,
7,,2749,,1.7855198383331299,
7,,2799,,1.808902621269226,
7,,2849,,1.8145623207092285,
7,,2899,,1.7829729318618774,
7,,2949,,1.8154330253601074,
7,,2999,,1.78087317943573,
7,,3049,,1.880719780921936,
7,,3099,,1.81766939163208,
7,,3119,,,1.808937668800354
,0.00092274469442792,3120,,,
8,,3149,,1.8083091974258423,
8,,3199,,1.8477429151535034,
8,,3249,,1.8243396282196045,
8,,3299,,1.7937580347061157,
8,,3349,,1.8106131553649902,
8,,3399,,1.8398936986923218,
8,,3449,,1.8716323375701904,
8,,3499,,1.8192684650421143,
8,,3509,,,1.8087841272354126
,0.0009135172474836408,3510,,,
9,,3549,,1.7940382957458496,
9,,3599,,1.7751171588897705,
9,,3649,,1.851834774017334,
9,,3699,,1.8637149333953857,
9,,3749,,1.8067469596862793,
9,,3799,,1.8227341175079346,
9,,3849,,1.8207101821899414,
9,,3899,,1.7749756574630737,
9,,3899,,,1.8048142194747925
,0.0009043820750088043,3900,,,
10,,3949,,1.8073315620422363,
10,,3999,,1.7519536018371582,
10,,4049,,1.7748565673828125,
10,,4099,,1.7967684268951416,
10,,4149,,1.8415603637695312,
10,,4199,,1.7939436435699463,
10,,4249,,1.7998632192611694,
10,,4289,,,1.804459571838379
,0.0008953382542587163,4290,,,
11,,4299,,1.761146068572998,
11,,4349,,1.8090896606445312,
11,,4399,,1.8559644222259521,
11,,4449,,1.8088629245758057,
11,,4499,,1.7998203039169312,
11,,4549,,1.8151744604110718,
11,,4599,,1.822019338607788,
11,,4649,,1.8093549013137817,
11,,4679,,,1.799482822418213
,0.0008863848717161291,4680,,,
12,,4699,,1.7859652042388916,
12,,4749,,1.7806451320648193,
12,,4799,,1.7541279792785645,
12,,4849,,1.7984689474105835,
12,,4899,,1.8448114395141602,
12,,4949,,1.8013499975204468,
12,,4999,,1.8708112239837646,
12,,5049,,1.8420449495315552,
12,,5069,,,1.7989792823791504
,0.0008775210229989678,5070,,,
13,,5099,,1.844118356704712,
13,,5149,,1.8494040966033936,
13,,5199,,1.7893009185791016,
13,,5249,,1.7986390590667725,
13,,5299,,1.7908868789672852,
13,,5349,,1.8212313652038574,
13,,5399,,1.7286525964736938,
13,,5449,,1.8207297325134277,
13,,5459,,,1.798549771308899
,0.0008687458127689781,5460,,,
14,,5499,,1.7887494564056396,
14,,5549,,1.7885483503341675,
14,,5599,,1.7723455429077148,
14,,5649,,1.8034733533859253,
14,,5699,,1.8006800413131714,
14,,5749,,1.8351917266845703,
14,,5799,,1.7900758981704712,
14,,5849,,1.8240866661071777,
14,,5849,,,1.798160195350647
,0.0008600583546412883,5850,,,
15,,5899,,1.84352707862854,
15,,5949,,1.7708714008331299,
15,,5999,,1.8550339937210083,
15,,6049,,1.8032710552215576,
15,,6099,,1.8005621433258057,
15,,6149,,1.8076194524765015,
15,,6199,,1.7827112674713135,
15,,6239,,,1.7990368604660034
,0.0008514577710948754,6240,,,
16,,6249,,1.8036179542541504,
16,,6299,,1.794767141342163,
16,,6346,1.7979146242141724,,
16,,6346,1.8000520467758179,,
