epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,5.032526138363085e+16,
0,,99,,2.679595950984397e+16,
0,,149,,1.5994894149484544e+16,
0,,199,,1.1408971810209792e+16,
0,,249,,7941185687519232.0,
0,,299,,5547321777455104.0,
0,,349,,4289824341098496.0,
0,,389,,,3548565599158272.0
,0.00099,390,,,
1,,399,,3244894768332800.0,
1,,449,,2605326088011776.0,
1,,499,,2172846906277888.0,
1,,549,,1747120352657408.0,
1,,599,,1368443689369600.0,
1,,649,,1176512606765056.0,
1,,699,,896104929427456.0,
1,,749,,671855828533248.0,
1,,779,,,563112222654464.0
,0.0009801,780,,,
2,,799,,527728805675008.0,
2,,849,,411655234125824.0,
2,,899,,282640288579584.0,
2,,949,,223762679070720.0,
2,,999,,124622989164544.0,
2,,1049,,70454744186880.0,
2,,1099,,37933985824768.0,
2,,1149,,21285618843648.0,
2,,1169,,,13764921393152.0
,0.000970299,1170,,,
3,,1199,,9818515439616.0,
3,,1249,,5557928853504.0,
3,,1299,,3936244203520.0,
3,,1349,,3575818223616.0,
3,,1399,,2453544894464.0,
3,,1449,,2383190949888.0,
3,,1499,,1715222872064.0,
3,,1549,,1658571063296.0,
3,,1559,,,1304246091776.0
,0.0009605960099999999,1560,,,
4,,1599,,1233300750336.0,
4,,1649,,1114343735296.0,
4,,1699,,844460064768.0,
4,,1749,,791980539904.0,
4,,1799,,842661232640.0,
4,,1849,,660915355648.0,
4,,1899,,626362548224.0,
4,,1949,,638278041600.0,
4,,1949,,,647496335360.0
,0.0009509900498999999,1950,,,
5,,1999,,593106370560.0,
5,,2049,,542349262848.0,
5,,2099,,502610395136.0,
5,,2149,,539361738752.0,
5,,2199,,471403167744.0,
5,,2249,,500305362944.0,
5,,2299,,399813312512.0,
5,,2339,,,425839558656.0
,0.0009414801494009999,2340,,,
6,,2349,,559883223040.0,
6,,2399,,332023431168.0,
6,,2449,,502345760768.0,
6,,2499,,370258837504.0,
6,,2549,,405359165440.0,
6,,2599,,277159510016.0,
6,,2649,,252875833344.0,
6,,2699,,258248261632.0,
6,,2729,,,288983842816.0
,0.0009320653479069899,2730,,,
7,,2749,,239072083968.0,
7,,2799,,268736380928.0,
7,,2849,,244993212416.0,
7,,2899,,267274190848.0,
7,,2949,,248793481216.0,
7,,2999,,191031574528.0,
7,,3049,,264240398336.0,
7,,3099,,188490579968.0,
7,,3119,,,196014505984.0
,0.00092274469442792,3120,,,
8,,3149,,275401932800.0,
8,,3199,,172662489088.0,
8,,3249,,163384786944.0,
8,,3299,,134782058496.0,
8,,3349,,158596513792.0,
8,,3399,,151211556864.0,
8,,3449,,125352271872.0,
8,,3499,,124164931584.0,
8,,3509,,,133145821184.0
,0.0009135172474836408,3510,,,
9,,3549,,209115693056.0,
9,,3599,,129800339456.0,
9,,3649,,111948365824.0,
9,,3699,,64667377664.0,
9,,3749,,113989935104.0,
9,,3799,,146216091648.0,
9,,3849,,67004694528.0,
9,,3899,,80980082688.0,
