epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,6.82536506652832,
0,,99,,3.5319056510925293,
0,,149,,2.520174026489258,
0,,199,,1.951822280883789,
0,,249,,1.738389492034912,
0,,299,,1.6263301372528076,
0,,349,,1.6430939435958862,
0,,389,,,1.5706806182861328
,0.00099,390,,,
1,,399,,1.5946288108825684,
1,,449,,1.4995192289352417,
1,,499,,1.4935693740844727,
1,,549,,1.4345678091049194,
1,,599,,1.4721009731292725,
1,,649,,1.439496636390686,
1,,699,,1.3978464603424072,
1,,749,,1.4264147281646729,
1,,779,,,1.4107807874679565
,0.0009801,780,,,
2,,799,,1.369282841682434,
2,,849,,1.419386386871338,
2,,899,,1.3649237155914307,
2,,949,,1.372650146484375,
2,,999,,1.316048264503479,
2,,1049,,1.3702878952026367,
2,,1099,,1.3247591257095337,
2,,1149,,1.4026286602020264,
2,,1169,,,1.331689476966858
,0.000970299,1170,,,
3,,1199,,1.3425559997558594,
3,,1249,,1.3168470859527588,
3,,1299,,1.3309354782104492,
3,,1349,,1.3264434337615967,
3,,1399,,1.3272101879119873,
3,,1449,,1.2855100631713867,
3,,1499,,1.264583945274353,
3,,1549,,1.3087785243988037,
3,,1559,,,1.282218337059021
,0.0009605960099999999,1560,,,
4,,1599,,1.276370882987976,
4,,1649,,1.252307653427124,
4,,1699,,1.2786242961883545,
4,,1749,,1.2581443786621094,
4,,1799,,1.2592294216156006,
4,,1849,,1.285717487335205,
4,,1899,,1.2484116554260254,
4,,1949,,1.2404844760894775,
4,,1949,,,1.2556822299957275
,0.0009509900498999999,1950,,,
5,,1999,,1.2726094722747803,
5,,2049,,1.261904239654541,
5,,2099,,1.2507176399230957,
5,,2149,,1.2613493204116821,
5,,2199,,1.2442972660064697,
5,,2249,,1.238261103630066,
5,,2299,,1.2183263301849365,
5,,2339,,,1.2384690046310425
,0.0009414801494009999,2340,,,
6,,2349,,1.267580270767212,
6,,2399,,1.1915733814239502,
6,,2449,,1.246512770652771,
6,,2499,,1.2545812129974365,
