epoch,lr-Adam,step,test_bpd,train_bpd,val_bpd
,0.001,0,,,
0,,49,,7.864287376403809,
0,,99,,5.809195518493652,
0,,149,,3.1531808376312256,
0,,199,,2.146299123764038,
0,,249,,1.7908787727355957,
0,,299,,1.7039721012115479,
0,,349,,1.6079802513122559,
0,,389,,,1.592069149017334
,0.00099,390,,,
1,,399,,1.5166423320770264,
1,,449,,1.5732817649841309,
1,,499,,1.5448479652404785,
1,,549,,1.5347354412078857,
1,,599,,1.5018463134765625,
1,,649,,1.5338526964187622,
1,,699,,1.5236592292785645,
1,,749,,1.5582667589187622,
1,,779,,,1.4934710264205933
,0.0009801,780,,,
2,,799,,1.5182386636734009,
2,,849,,1.539672613143921,
2,,899,,1.5027438402175903,
2,,949,,1.42777419090271,
2,,999,,1.395477533340454,
2,,1049,,1.3855750560760498,
2,,1099,,1.4101052284240723,
2,,1149,,1.3899989128112793,
2,,1169,,,1.393019437789917
,0.000970299,1170,,,
3,,1199,,1.3624283075332642,
3,,1249,,1.3685898780822754,
3,,1299,,1.3672676086425781,
3,,1349,,1.3278005123138428,
3,,1399,,1.2333450317382812,
3,,1449,,1.3210585117340088,
3,,1499,,1.285252571105957,
3,,1549,,1.2964098453521729,
3,,1559,,,1.271771788597107
,0.0009605960099999999,1560,,,
4,,1599,,1.2318470478057861,
4,,1649,,1.2966594696044922,
4,,1699,,1.2668750286102295,
4,,1749,,1.2396659851074219,
4,,1799,,1.28902268409729,
4,,1849,,1.291582465171814,
4,,1899,,1.2506440877914429,
4,,1949,,1.233199119567871,
4,,1949,,,1.247234582901001
,0.0009509900498999999,1950,,,
5,,1999,,1.238502860069275,
5,,2049,,1.2201306819915771,
5,,2099,,1.2593111991882324,
5,,2149,,1.2059770822525024,
5,,2199,,1.2278051376342773,
5,,2249,,1.2573004961013794,
5,,2299,,1.2464485168457031,
5,,2339,,,1.235714316368103
,0.0009414801494009999,2340,,,
6,,2349,,1.242398977279663,
6,,2399,,1.198350429534912,
6,,2449,,1.2237615585327148,
6,,2499,,1.2025489807128906,
6,,2549,,1.2534887790679932,
6,,2599,,1.246128797531128,
6,,2649,,1.2311887741088867,
6,,2699,,1.2629880905151367,
6,,2729,,,1.2275841236114502
,0.0009320653479069899,2730,,,
7,,2749,,1.2102588415145874,
7,,2799,,1.2561908960342407,
7,,2849,,1.2171043157577515,
7,,2899,,1.218148946762085,
7,,2949,,1.2144134044647217,
7,,2999,,1.2551727294921875,
7,,3049,,1.2210237979888916,
7,,3099,,1.2479300498962402,
7,,3119,,,1.216550350189209
,0.00092274469442792,3120,,,
8,,3149,,1.1964266300201416,
8,,3199,,1.2481155395507812,
8,,3249,,1.177148699760437,
8,,3299,,1.2479748725891113,
8,,3349,,1.2313435077667236,
8,,3399,,1.225406527519226,
8,,3449,,1.2457689046859741,
8,,3499,,1.225306510925293,
8,,3509,,,1.2051297426223755
,0.0009135172474836408,3510,,,
9,,3549,,1.1683104038238525,
9,,3599,,1.1729072332382202,
9,,3649,,1.1922821998596191,
9,,3699,,1.1948277950286865,
9,,3749,,1.2027004957199097,
9,,3799,,1.1688232421875,
9,,3849,,1.2096987962722778,
